stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4796,0176,Поліклініка №3 (176),"вул. Суботівська, 2",49.844531,23.966610
4797,0194,Гніздовського (194),"вул. Широка, 79",49.841778,23.968815
4798,0195,Низинна (195),"вул. Широка (вул. Доробок, 36А)",49.842079,23.973525
4799,0429,Автобусний завод (429),"вул. Стрийська, 45",49.808524,24.019257
4800,0403,Податкова (403),вул. І. Чмоли 1,49.814562,24.021947
4801,0419,Католицький університет (419),вул. П. Мирного 4,49.816562,24.026917
4802,0420,Кибальчича (420),вул. П. Мирного 26,49.813789,24.035817
4803,,Пимоненка (331),"вул. Пасічна, 125",49.809185,24.078947
4804,0412,Львівхолод (0412),вул. Луганська 3,49.807534,24.054037
4805,0376,ДБК (376),"вул. Зелена, 238",49.804937,24.062709
4806,0379,Зубрівська (379),"вул. Зелена, 266",49.801506,24.065895
4807,0380,Сихівська (380),"вул. Зелена, 278",49.797039,24.071817
4808,0397,Кавалерідзе (397),вул. І. Кавалерідзе 2,49.793535,24.064463
4809,0400,Кос-Анатольського (400),вул. І. Кавалерідзе 16,49.790865,24.067698
4810,0410,Коломийська - Трильовського (410),вул. Коломийська 9,49.787672,24.065938
4811,0409,Коломийська (409),вул. Коломийська 7,49.788039,24.061051
4813,0399,Кос-Анатольського (399),вул. І. Кавалерідзе 15,49.791274,24.067440
4814,0398,Антоненка-Давидовича (398),вул. І. Кавалерідзе 9,49.792711,24.065568
4815,0394,Сихівська (394),вул. Зелена (навпроти буд. 309),49.797178,24.071935
4816,0423,Кавалерідзе (423),"вул. Сихівська, 5",49.794646,24.065167
4817,0378,Зубрівська (378),"вул. Зелена, 261",49.802268,24.065316
4818,0413,Львівхолод (0413),вул. Луганська 6,49.807762,24.053428
4819,,Пирогівка (334),"вул. Пасічна, 4",49.807395,24.076259
4820,,Трембіта (335),"вул. Пасічна, 127а",49.807347,24.070219
4821,,Трембіта (336),"вул. Пасічна, 127а",49.807409,24.069575
4822,0421,Кибальчича (421),вул. П. Мирного 37,49.814004,24.035597
4823,0408,Католицький університет (408),"вул. Козельницька, 4",49.816292,24.025732
4824,0404,Податкова (404),вул. І. Чмоли 2,49.814627,24.023098
4825,0478,Автобусний завод (478),вул. Володимира Великого 2,49.808316,24.016982
4826,0196,Широка (196),"вул. Широка (вул. Сяйво, 99)",49.842795,23.978621
4827,0192,Низинна (192),вул. Широка 44,49.842179,23.971680
4828,0175,Гніздовського (175),"вул. Суботівська, 2",49.842376,23.967667
4829,0178,Поліклініка №3 (178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734
4830,0426,Кавалерідзе (426),вул. Сихівська 20,49.794425,24.062907
4831,0122,Залізнична РА (122),"вул. Є. Патона, 2/2",49.822771,23.965173
4832,0119,Патона (119),"вул. Є. Патона, 2",49.823193,23.960516
